"","OBJECTID","VTDID","PCTNAME","PCTCODE","SHORTLABEL","MCDNAME","MCDCODE","MCDFIPS","MCDGNIS","CTU_TYPE","COUNTYNAME","COUNTYCODE","COUNTYFIPS","CONGDIST","MNSENDIST","MNLEGDIST","CTYCOMDIST","JUDDIST","SWCDIST","SWCDIST_N","WARD","HOSPDIST","HOSPDIST_N","PARKDIST","PARKDIST_N","Shape_Leng","Shape_Area"
"1",130,"270033110","Spring Lake Park P-2","3110","P-2","Spring Lake Park","110","61996","02395934","city","Anoka","2","003","5","39","39A","06","10","4003","Anoka District 3",NA,NA,NA,NA,NA,7876.62067821,2991428.79194
"2",741,"270030830","Columbia Heights P-6","0830","P-6","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39B","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,6188.43327398,1417778.82481
"3",1689,"270031705","Fridley W-2 P-1","1705","W-2 P-1","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-02",NA,NA,NA,NA,6907.67702795,2268656.24431
"4",1941,"270032005","Hilltop P-1","2005","P-1","Hilltop","070","29258","02394389","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,2429.69326309,329824.218209
"5",3174,"270030805","Columbia Heights P-1","0805","P-1","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39B","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,5438.4264327,1349031.64042
"6",3175,"270030810","Columbia Heights P-2","0810","P-2","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39B","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,5510.43691031,1240532.73935
"7",3176,"270030815","Columbia Heights P-3","0815","P-3","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39B","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,4380.60382877,886600.102934
"8",3177,"270030825","Columbia Heights P-5","0825","P-5","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39B","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,5465.93705597,1267643.00214
"9",3178,"270030835","Columbia Heights P-7","0835","P-7","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,5235.34994861,1014773.44489
"10",3179,"270030820","Columbia Heights P-4","0820","P-4","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39B","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,5299.42675699,1101208.39934
"11",3180,"270030840","Columbia Heights P-8","0840","P-8","Columbia Heights","040","12700","02393607","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3",NA,NA,NA,NA,NA,5258.45992037,780640.381764
"12",3181,"270031615","Fridley W-1 P-3","1615","W-1 P-3","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-01",NA,NA,NA,NA,5175.47278087,1291183.22157
"13",3182,"270031620","Fridley W-1 P-4","1620","W-1 P-4","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-01",NA,NA,NA,NA,7797.80212565,1921935.79411
"14",3183,"270031805","Fridley W-3 P-1","1805","W-3 P-1","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-03",NA,NA,NA,NA,9350.95458568,3004762.14016
"15",3184,"270031810","Fridley W-3 P-2","1810","W-3 P-2","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-03",NA,NA,NA,NA,14063.8656533,4628309.05459
"16",3185,"270031605","Fridley W-1 P-1","1605","W-1 P-1","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-01",NA,NA,NA,NA,6312.31491925,2250807.29661
"17",3186,"270031610","Fridley W-1 P-2","1610","W-1 P-2","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-01",NA,NA,NA,NA,6326.59440054,1823837.01402
"18",3187,"270031710","Fridley W-2 P-2","1710","W-2 P-2","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-02",NA,NA,NA,NA,9237.41000495,3860258.58733
"19",3188,"270033105","Spring Lake Park P-1A","3105","P-1A","Spring Lake Park","110","61996","02395934","city","Anoka","2","003","5","39","39A","06","10","4003","Anoka District 3",NA,NA,NA,NA,NA,7460.25756733,2309485.91048
"20",3450,"270031715","Fridley W-2 P-3","1715","W-2 P-3","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-02",NA,NA,NA,NA,5347.91374648,1299698.63547
"21",3451,"270031815","Fridley W-3 P-3","1815","W-3 P-3","Fridley","055","22814","02394826","city","Anoka","2","003","5","39","39A","07","10","4003","Anoka District 3","W-03",NA,NA,NA,NA,15238.1089296,5886715.13391
"22",3493,"270532765","Saint Anthony P-1","2765","P-1","St. Anthony","205","56680","02396471","city","Hennepin","27","053","5","39","39B","02","04",NA,NA,NA,NA,NA,"3","Three Rivers Park District",7693.38854402,2503195.97766
"23",3494,"270532770","Saint Anthony P-2","2770","P-2","St. Anthony","205","56680","02396471","city","Hennepin","27","053","5","39","39B","02","04",NA,NA,NA,NA,NA,"3","Three Rivers Park District",5443.29992135,1867784.87241
"24",3516,"270530560","Crystal W-2 P-1","0560","W-2 P-1","Crystal","035","14158","02393683","city","Hennepin","27","053","5","43","43B","01","04",NA,NA,"W-02",NA,NA,"3","Three Rivers Park District",8196.358983,1600586.53989
"25",3517,"270530565","Crystal W-2 P-2","0565","W-2 P-2","Crystal","035","14158","02393683","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,"W-02",NA,NA,"3","Three Rivers Park District",8437.16371381,1948788.92375
"26",3518,"270530550","Crystal W-1 P-1","0550","W-1 P-1","Crystal","035","14158","02393683","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,"W-01",NA,NA,"3","Three Rivers Park District",15124.9883493,3183541.49455
"27",3519,"270530570","Crystal W-3 P-1","0570","W-3 P-1","Crystal","035","14158","02393683","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,"W-03",NA,NA,"3","Three Rivers Park District",10160.3517453,3714398.36023
"28",3520,"270530585","Crystal W-4 P-1","0585","W-4 P-1","Crystal","035","14158","02393683","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,"W-04",NA,NA,"3","Three Rivers Park District",12653.5593394,4777740.85081
"29",3545,"270532290","New Hope P-1","2290","P-1","New Hope","165","45628","02395201","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,NA,NA,NA,"1","Three Rivers Park District",11024.0053413,1428282.41293
"30",3546,"270532295","New Hope P-2","2295","P-2","New Hope","165","45628","02395201","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,NA,NA,NA,"1","Three Rivers Park District",4881.63888687,1277200.93943
"31",3547,"270532300","New Hope P-3","2300","P-3","New Hope","165","45628","02395201","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,NA,NA,NA,"1","Three Rivers Park District",5685.7334886,2002130.79333
"32",3548,"270532310","New Hope P-4","2310","P-4","New Hope","165","45628","02395201","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,NA,NA,NA,"1","Three Rivers Park District",5607.19935863,1892501.81132
"33",3549,"270532315","New Hope P-5","2315","P-5","New Hope","165","45628","02395201","city","Hennepin","27","053","5","43","43A","01","04",NA,NA,NA,NA,NA,"1","Three Rivers Park District",6422.06374321,1512435.90938
